String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
ID,Sec_word,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42
Man11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
God11,1,纵使流浪数年，艾珀的梦魇依旧挥之不去;倒不如说，这梦魇已然成为艾珀持续前行的动力;梦魇，他无法完全忘怀的过去,                        ■■,“拉德家族到底做错了什么！”;“艾珀！弗尔！快跑！别回头！”;“哥哥、爸爸、妈妈！”,                        ■■,无法回想起当年的画面;无法回想起仇敌的面目;甚至，连弟弟、父母的脸，都无法回想,流浪的同时追寻着当年的回忆;却寻不到任何线索,                        ■■,■■，不知何时开始伴随自身的强大力量;魔戒，想不起是儿时父母为自己戴上的\n还是危机来临时父母托付给自己的;梦想，敬佩、向往身为英雄的父母\n但自己能接受父母那样的结局吗,                        邪■,独自流浪的生活很苦;苦到自己已经忘记了所有;回忆、人性、梦想，似乎都已经快要迷失,夜似要黑透，即使是月亮也没有出现;艾珀，在陷入彻底的迷茫之前，看到了一盏灯;名为黑暗的光芒——■能,                        ■能,艾珀发现了与自己力量相同的存在;快要窒息之人终于呼吸到一口气;即使这气浑浊不堪，他依然有了些许向前的能量,至于气的本质，是新鲜空气，还是致命毒气;已经无所谓了;艾珀没有选择,                        邪能,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man21,1,对了，海洛;有个问题我一直好奇,0,作为女孩子，怎么会去当军人的;不像我没有选择;你似乎没有生在贵族家庭,0,... ...,0,0,0,0,像童话一样...;可是后来为什么又离开了;你当上团长也没很长时间,0,0,0,单纯？大概只是觉得你不好掌控;不过...,我可不相信你是因为发现做不了“英雄”;才选择离开的,你不是会如此退缩、忍让的人;我猜，大概与邪能有关,0,0,0,0,0,0,哟呵，没想到团长大人心思如此缜密;一直以来小看你可真是抱歉,0,,,,,,,,,,,,,,,,,,
Woman21,1,0,什么事？,0,小时候就比较崇拜各种英雄啦;救困扶危，为了保护别人挺身而出;不觉得很酷很帅吗,0,那个时候，一直一直幻想着;当有一天，大家面临危机时;自己能挺身而出,对我来说，想实现英雄梦;进入军队锻炼是最好的途径;等回过神来，就已经穿上骑士的盔甲了,虽然当上骑士很容易，但是之后就没那么顺利了;女生身体素质没那么好，很容易被瞧不起;想要证明自己，只能不停地挥剑、不停地学习知识,就那样拼命了几年;后来你也都知道了,0,当上团长之后，凭借权限查了很多资料;跟国家上层也有了不少接触;实在是...一言难尽...,许多人认为我的想法太单纯;他们大多只顾自我利益;他们瞧不上我，正如我瞧不上他们,不断审视自我，我发现继续坐在这个位置;根本当不了想象中的英雄;所以...我就选择了离开,0,0,0,...果然瞒不住你...;在那些人里，我发现了一些异类,他们目的独特，身上都有着相似的气息;而我在各地执行任务时，也见到过类似的力量;对照资料，我了解到那种力量被称为邪能,这几年邪能出现的越来越频繁了;有人说这与所谓的“邪神”有关;但是我却没有找到任何有关邪神的记载,一定是有人在暗地谋划着什么;作为引人注目的骑士团长;我的调查一定会打草惊蛇,正像以前的梦想;在危机来临之际，我希望我能挺身而出,所以我离开了军队，不停地暗中调查邪能;直到那天遇到了你,0,夸人的话就不能说得好听点吗...;...真的是...,,,,,,,,,,,,,,,,,,
God21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Man31,1,0,5...,0,5...,0,0,0,0,5..咳..,0,0,0,5..呜..\n..咳...,0,0,4..唔,0,5...,0,0,5(海洛...),0,0,0,5...,0,0,0,0,,,,,,,,,,,,,
Woman31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
God31,1,茫茫雪原\n漫天风雪\n有一处身影在其中艰难前行,0,男子踏过的路染上红色\n转瞬又被风雪染白,0,血液的主人并非男子\n而是男子背着的白发女子,光凭脚力，二人无法活着走出这里\n不是男子先失去体力\n就是女子先失去体温,男子自然明白这个道理,下一刻，风雪中的人消失不见\n仅留下地上转瞬便被埋没的血迹,0,能够运用空间魔法的男子\n名为艾珀·拉德,他的魔法并不足以直接传送出这片雪原;只是加快脚程而已..,..不够快,0,不仅是空间魔法\n艾珀同时还在运用邪能的力量\n将自己的生命力传递给背着的女子,这正是女子仍未失去体温的缘由,0,高强度运用邪能\n他的意识逐渐被夺取;高强度使用魔力\n他的意识逐渐消散,0,艾珀仍没有停下脚步的理由\n...\n他不想有人因他而死;这是他最初的想法,随着身体逐渐虚弱\n意识逐渐被侵蚀\n他所能思考的只有...,0,风声不如方才一样呼啸\n雪地上的血迹也不再那么快被覆盖,雪停了;...不如说;艾珀熬到了雪停的地区,雪原附近的村庄映入艾珀眼中,0,艾珀再也无法支撑海洛和自己的身体,,......\n...,“喂，来人呐！\n这里有两个伤员！”,,,,,,,,,,,,,
