String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
ID,Sec_word,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49,word50,word51,word52,word53,word54,word55
Man00,1,0,0,一阵邪风...;这个地形，总感觉不太好,0,但愿只是乱想,0,5...嗯,0,3嘁，距离村庄还有很长一段距离;但是却感觉恶意越来越近了,4数只低等怪物吗？;不，还有一个...,海洛！,0,5...哼，睡得真死;主动出击吧,看气息，大概是一群流寇;乌合之众,3我一个人就足够了,0,5...还是醒了吗;那就起来活动一下,0,嗯，一些不入流的货色,0,不会，没有感觉到邪能的气息,0,5...驾车更累;上了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman00,1,0,0,0,乱想什么呢,0,专心驾车吧;我先休息一会,0,0,0,0,0,zzz...,0,0,0,怎么停车了？,0,魔物？,0,...会与邪能有关吗,0,那就确实只能当活动活动筋骨了;坐车真累啊,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God00,1,荒凉旷野;两侧山峦一眼望不到头;一辆马车在较为平缓的山道中驰骋,阴云密布;一阵寒风吹过;隐蔽之处似乎有邪祟蠢蠢欲动,0,0,0,0,0,一个小时后,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man01,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman01,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God01,1,游戏教学环节\n该环节在本场战斗结束后可以在菜单界面“旅者之书”回顾,游戏机制介绍：\n屏幕左上和右上所显示的分别为男主和女主的生命值、魔法\n值、行动力\n生命值HP：该值降至0以下时对应角色死亡\n男女主任意一人死亡都会导致游戏失败\n魔法值MP：玩家使用大多数技能时需要消耗魔法值\n行动力AP：玩家移动、行动时一般需要消耗行动力，在每\n个角色回合开始时补至上限,本游戏战斗环节介绍：\n每个轮次每个角色行动一次，依次为：\n男主艾珀->女主海洛->敌方Npc\n每个角色的回合又分为两个阶段：\n移动 和 行动,一.移动阶段：\n进入该阶段后，玩家需通过按下WASD键移动光标位置\nSpace空格键即可令角色移动到光标位置,关于移动的规则1：\n一般地，同等高度下每移动一格需要消耗角色一点行动力\n移动阶段所显示的白色地块为玩家本回合能达到的位置\n玩家实际移动路径与光标移动路径无关\n移动阶段所保留的行动力可用于本回合行动阶段,关于移动的规则2：\n本游戏中男主攀爬力为3、女主攀爬力为2\n面对相邻、高度不同的地块，玩家一步仅能跨越高度差绝对\n值不大于自身攀爬力的相邻地块\n在跨向更高的地块时需要消耗等同于高度差的行动力\n在跨向更低的地块时，只要能够跨越则均只消耗1行动力,关于移动的规则3：\n角色在移动过程中可以穿过友方所在地块，\n但不能停留在友方所在地块\n若光标停留在该角色本身所在地块\n视为跳过该角色的移动阶段\n即保留全部行动力进入行动阶段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man02,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman02,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God02,1,二.行动阶段：\n玩家需使用鼠标点击屏幕下方的按钮决定行动方式\n大体分为：攻击、特殊技能、防御、返回、结束\n除返回键外，选择其他的行动都会结束对应角色的回合\n即选择行动后本回合不可以再移动,攻击：\n即普通攻击，通常攻击距离为1\n在选中该按钮后，依然需要使用键盘WASD键控制光标移动\n与移动同理，将光标移动到想要选择的目标后按下\nSpace空格键确定选择位置\n普通攻击所能选择的合法目标为敌方Npc,防御：\n使用后直到对应角色的下个回合开始时，提高角色自身的\n防御值、格挡率\n返回：\n玩家行动阶段时可随时通过该按钮回到该角色的移动阶段\n结束：\n结束该角色的行动阶段，进入下一个角色的回合,男主技能系统：\n男主的技能系统分为三个部分：元素魔法、空间魔法、邪能\n每一类元素魔法分为两个技能，其中单体魔法需要选定敌方\nNpc，群体魔法则无限制\n将鼠标移动到对应技能按钮即可得到对应技能信息,空间魔法：\n本游戏男主空间魔法共有两个：转移和干涉\n注意：空间魔法一般需要消耗男主的全部行动力\n若要使用该类技能，移动阶段需要停留在原地,邪能：\n本游戏男主的邪能技能共有两个，该系列技能的伤害、恢复\n效率会基于战斗开始时男主的侵蚀度得到加成\n特别注意：\n使用邪能系列技能不消耗魔法值，但会增加男主的侵蚀度\n当男主侵蚀度达到100时游戏就会失败\n侵蚀度会在菜单界面显示，请玩家慎重使用该系列技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man03,1,5喂，别又一个人冲过头了;骑士打起架来都是这样么...,0,5应该是她自己的问题,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman03,1,0,快跟上！,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God03,1,0,0,0,本关目标：打倒哥布林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man09,1,5嘁，真是浪费时间;赶紧赶路吧，争取在天黑前赶到下一个村子,0,喂，说好的换着来呢,0,5这种程度还能累到骑士团长大人？,0,？,0,？？？,5差不多得了;骑士“大人”还是好好休息吧,0,0,4...混蛋,0,0,0,0,0,喂，醒醒，到了！,0,5那下次你驾,0,3等等，先别吵,0,这附近，有微弱的邪能气息,0,5哼，突然想起一些不好的回忆,0,5二话不说就砍过来了...,0,...嗯...难以反驳,0,5... ...,0,...嗯,,,,,,,,,,,,,,,,,,,,
