String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
ID,Sec_word,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42
Man0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God0,1,小伙伴们你们好,我是这个游戏项目组的组长陈亮奇,承担的任务，大概以策划为主？,包括世界观的设定、剧情文案的书写、\n地图、我方角色、敌人的技能机制\n大部分内容想法是我提出来的,除此之外，程序方面，\nUI、地图的各种逻辑我也写了不少\n包括思路指导、个别功能的具体实现\n基本算是组里唯一一个理清全部代码逻辑的？,当然还有美术方面\n男女主姑且算是我画的（\n女主的模型是我想办法“借”来的,感觉自己做的很充实\n看到队友喊罢工、骂策划的也感觉比较有趣,总之，基本算是半个月做完的\n这份2w多行代码的游戏\n队友们能做完实在是太令人感动了,下次做游戏，争取做个不折磨队友的\n阳间策划吧,...\n什么？他们说我压榨他们？\n明明是他们压榨我好吧,什么恶人先告状\n可恶\n...,总之，各位，以及屏幕前的你\n感激不尽！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God1,1,各位玩家们大家好\n我是被clq各种压榨的贾鸽\n这次主要负责写UI的逻辑,希望大家能玩的开心\n本来这个游戏是有存档功能的\n但是因为种种原因不得不去掉,因为写了挺久的所以去掉还挺伤心的\n不过你们玩的开心就好了,这次也是我第一次真正意义上的团队游戏开发\n有开心也有难过吧\nclq的各种奇怪的要求太特么折磨人了,还有demo日的通宵\n和现在也就是提交日当天凌晨正在写这些对话的我\n有时候真觉得有点受不了,不过看到自己的ui一步步实现功能和队友对自己的鼓励\n然后看到现在的这个成品游戏\n感觉一切都值了吧,最后来一句话总结吧\nb站关注：嘉然今天吃什么（bushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God2,1,我是一个程序\n但总共五位数行数的代码我足足写了两位数,我不算策划\n但时不时和某策划资本家battle,我算半个美工\n但搭了全部的地图和弄了大量模型,其他的emmm\nCLQP？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man3,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman3,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God3,1,首先感谢屏幕前的你愿意游玩我们的作品\n我是负责编写本作品玩法机制逻辑的程序,这是我第一次正式参与制作的游戏\n也倾注了很多精力，也会是我一段宝贵的经历\n,虽然总是被clq拉去加班\n……,,想了很多\n但最后还是就只说一句\n希望你玩的开心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
